name,index,shape,value
GW1, 2000-01-01,1,1000
GW1, 2000-02-01,1,1000
GW1, 2000-03-01,1,1000
GW1, 2000-04-01,1,1000
GW1, 2000-05-01,1,1000
GW1, 2000-06-01,1,1000
GW1, 2000-07-01,1,1000
GW1, 2000-08-01,1,1000
GW1, 2000-09-01,1,1000
GW1, 2000-10-01,1,1000
GW1, 2000-11-01,1,1000
GW1, 2000-12-01,1,1000
GW1, 2001-01-01,1,1000
GW1, 2001-02-01,1,1000
GW1, 2001-03-01,1,1000
GW1, 2001-04-01,1,1000
GW1, 2001-05-01,1,1000
GW1, 2001-06-01,1,1000
GW1, 2001-07-01,1,1000
GW1, 2001-08-01,1,1000
GW1, 2001-09-01,1,1000
GW1, 2001-10-01,1,1000
GW1, 2001-11-01,1,1000
GW1, 2001-12-01,1,1000
GW2, 2000-01-01,1,1000
GW2, 2000-02-01,1,1000
GW2, 2000-03-01,1,1000
GW2, 2000-04-01,1,1000
GW2, 2000-05-01,1,1000
GW2, 2000-06-01,1,1000
GW2, 2000-07-01,1,1000
GW2, 2000-08-01,1,1000
GW2, 2000-09-01,1,1000
GW2, 2000-10-01,1,1000
GW2, 2000-11-01,1,1000
GW2, 2000-12-01,1,1000
GW2, 2001-01-01,1,1000
GW2, 2001-02-01,1,1000
GW2, 2001-03-01,1,1000
GW2, 2001-04-01,1,1000
GW2, 2001-05-01,1,1000
GW2, 2001-06-01,1,1000
GW2, 2001-07-01,1,1000
GW2, 2001-08-01,1,1000
GW2, 2001-09-01,1,1000
GW2, 2001-10-01,1,1000
GW2, 2001-11-01,1,1000
GW2, 2001-12-01,1,1000
SR1, 2000-01-01,1,150
SR1, 2000-02-01,1,155
SR1, 2000-03-01,1,160
SR1, 2000-04-01,1,165
SR1, 2000-05-01,1,170
SR1, 2000-06-01,1,175
SR1, 2000-07-01,1,170
SR1, 2000-08-01,1,165
SR1, 2000-09-01,1,160
SR1, 2000-10-01,1,155
SR1, 2000-11-01,1,150
SR1, 2000-12-01,1,145
SR1, 2001-01-01,1,150
SR1, 2001-02-01,1,169
SR1, 2001-03-01,1,177
SR1, 2001-04-01,1,185
SR1, 2001-05-01,1,172
SR1, 2001-06-01,1,189
SR1, 2001-07-01,1,189
SR1, 2001-08-01,1,134
SR1, 2001-09-01,1,191
SR1, 2001-10-01,1,128
SR1, 2001-11-01,1,153
SR1, 2001-12-01,1,157
SR2, 2000-01-01,1,40
SR2, 2000-02-01,1,45
SR2, 2000-03-01,1,50
SR2, 2000-04-01,1,55
SR2, 2000-05-01,1,60
SR2, 2000-06-01,1,65
SR2, 2000-07-01,1,60
SR2, 2000-08-01,1,55
SR2, 2000-09-01,1,50
SR2, 2000-10-01,1,45
SR2, 2000-11-01,1,40
SR2, 2000-12-01,1,35
SR2, 2001-01-01,1,40
SR2, 2001-02-01,1,37
SR2, 2001-03-01,1,50
SR2, 2001-04-01,1,50
SR2, 2001-05-01,1,71
SR2, 2001-06-01,1,52
SR2, 2001-07-01,1,55
SR2, 2001-08-01,1,46
SR2, 2001-09-01,1,42
SR2, 2001-10-01,1,51
SR2, 2001-11-01,1,32
SR2, 2001-12-01,1,38
SR3, 2000-01-01,1,90
SR3, 2000-02-01,1,95
SR3, 2000-03-01,1,100
SR3, 2000-04-01,1,105
SR3, 2000-05-01,1,110
SR3, 2000-06-01,1,115
SR3, 2000-07-01,1,110
SR3, 2000-08-01,1,105
SR3, 2000-09-01,1,100
SR3, 2000-10-01,1,95
SR3, 2000-11-01,1,90
SR3, 2000-12-01,1,85
SR3, 2001-01-01,1,90
SR3, 2001-02-01,1,79
SR3, 2001-03-01,1,120
SR3, 2001-04-01,1,116
SR3, 2001-05-01,1,93
SR3, 2001-06-01,1,97
SR3, 2001-07-01,1,115
SR3, 2001-08-01,1,108
SR3, 2001-09-01,1,115
SR3, 2001-10-01,1,113
SR3, 2001-11-01,1,91
SR3, 2001-12-01,1,101
SR4, 2000-01-01,1,200
SR4, 2000-02-01,1,205
SR4, 2000-03-01,1,210
SR4, 2000-04-01,1,215
SR4, 2000-05-01,1,220
SR4, 2000-06-01,1,225
SR4, 2000-07-01,1,220
SR4, 2000-08-01,1,215
SR4, 2000-09-01,1,210
SR4, 2000-10-01,1,205
SR4, 2000-11-01,1,200
SR4, 2000-12-01,1,195
SR4, 2001-01-01,1,200
SR4, 2001-02-01,1,177
SR4, 2001-03-01,1,238
SR4, 2001-04-01,1,173
SR4, 2001-05-01,1,245
SR4, 2001-06-01,1,192
SR4, 2001-07-01,1,233
SR4, 2001-08-01,1,188
SR4, 2001-09-01,1,195
SR4, 2001-10-01,1,246
SR4, 2001-11-01,1,193
SR4, 2001-12-01,1,218
